City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
137,Tuatapere,NZ,2020-06-22 01:14:10,-46.13,167.68,39.0,83,0,3.0
138,College,US,2020-06-22 01:14:10,64.86,-147.8,53.6,87,90,9.17
139,Deputatskiy,RU,2020-06-22 01:14:10,69.3,139.9,82.56,23,18,4.16
140,Klaksvik,FO,2020-06-22 01:14:11,62.23,-6.59,50.0,100,41,10.29
141,Vostok,RU,2020-06-22 01:14:11,46.49,135.88,53.02,95,100,3.24
142,Avera,US,2020-06-22 01:14:11,33.19,-82.53,82.4,74,40,5.64
143,Waingapu,ID,2020-06-22 01:14:11,-9.66,120.26,81.93,71,98,15.1
144,Norman Wells,CA,2020-06-22 01:14:12,65.28,-126.83,55.4,93,90,10.29
145,Iquique,CL,2020-06-22 01:11:19,-20.22,-70.14,62.6,67,75,5.82
146,Imeni Poliny Osipenko,RU,2020-06-22 01:14:12,52.42,136.49,52.95,69,100,13.22
147,Hasaki,JP,2020-06-22 01:14:13,35.73,140.83,68.0,100,75,11.41
148,Aykhal,RU,2020-06-22 01:14:13,66.0,111.5,73.4,43,40,2.24
149,Vershino-Shakhtaminskiy,RU,2020-06-22 01:14:13,51.3,117.89,62.83,52,93,5.53
150,Yumen,CN,2020-06-22 01:14:13,40.28,97.2,69.3,38,0,6.82
151,Fortuna,US,2020-06-22 01:14:14,40.6,-124.16,62.01,87,90,9.17
152,Viedma,AR,2020-06-22 01:12:40,-40.81,-63.0,46.45,54,30,7.56
153,Vestmannaeyjar,IS,2020-06-22 01:14:14,63.44,-20.27,51.03,88,100,21.05
154,Ayan,RU,2020-06-22 01:14:14,56.45,138.17,42.55,97,100,6.15
155,Torbay,CA,2020-06-22 01:14:15,47.67,-52.73,52.0,53,90,17.22
156,Jiaozuo,CN,2020-06-22 01:14:15,35.24,113.23,77.05,66,98,5.46
157,Vaini,TO,2020-06-22 01:14:15,-21.2,-175.2,80.6,88,40,10.29
158,Manthani,IN,2020-06-22 01:14:16,18.65,79.67,80.35,79,100,4.21
159,Shubarkuduk,KZ,2020-06-22 01:14:16,49.14,56.49,62.71,73,0,9.46
160,Esperance,AU,2020-06-22 01:14:16,-33.87,121.9,42.8,81,0,17.22
161,Nanortalik,GL,2020-06-22 01:14:16,60.14,-45.24,45.77,72,100,7.29
162,Anjar,IN,2020-06-22 01:14:17,23.13,70.02,82.63,77,16,11.41
163,Longyearbyen,SJ,2020-06-22 01:14:17,78.22,15.64,42.8,70,20,4.7
164,Zhukovo,RU,2020-06-22 01:14:17,55.03,36.74,52.0,93,10,4.47
165,Charters Towers,AU,2020-06-22 01:14:17,-20.1,146.27,71.62,50,0,10.04
166,Kurchum,KZ,2020-06-22 01:14:18,48.57,83.65,54.34,49,4,8.08
167,Hobart,AU,2020-06-22 01:14:18,-42.88,147.33,55.0,93,75,10.29
168,Lavrentiya,RU,2020-06-22 01:14:18,65.58,-171.0,59.49,44,0,9.42
169,Port Lincoln,AU,2020-06-22 01:14:18,-34.73,135.87,58.1,65,0,18.77
170,Severo-Kurilsk,RU,2020-06-22 01:14:19,50.68,156.12,49.32,78,100,3.91
171,Biloela,AU,2020-06-22 01:14:19,-24.42,150.5,67.17,35,0,9.01
172,Ambilobe,MG,2020-06-22 01:14:19,-13.2,49.05,71.19,87,7,3.74
173,Abalak,RU,2020-06-22 01:14:20,58.13,68.59,44.02,90,10,6.17
174,Vagur,FO,2020-06-22 01:14:20,61.47,-6.81,50.68,92,55,15.88
