city_id,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Rain (inches),Snow (inches),City Description,Country
274,Phek,25.67,94.5,62.58,100,95,0.92,0.22,0,light rain,IN
275,Marzuq,14.4,46.47,85.91,44,63,7.94,0.0,0,broken clouds,YE
276,Hambantota,6.12,81.12,81.5,82,99,16.91,0.0,0,overcast clouds,LK
277,Ramhormoz,31.28,49.6,98.6,23,0,6.93,0.0,0,clear sky,IR
278,Calama,-22.47,-68.93,68.0,4,0,10.29,0.0,0,clear sky,CL
279,Kahului,20.89,-156.47,80.6,61,20,14.99,0.0,0,few clouds,US
280,Antsohihy,-14.88,47.99,70.77,61,13,7.0,0.0,0,few clouds,MG
281,Camoapa,12.38,-85.51,87.8,62,40,4.7,0.0,0,scattered clouds,NI
282,Verkhnyaya Sinyachikha,57.98,61.67,47.3,79,18,2.3,0.0,0,few clouds,RU
283,Gerash,27.67,54.14,95.0,34,0,3.51,0.0,0,clear sky,IR
284,Sitio Novo Do Tocantins,-5.52,-47.46,93.2,41,40,5.82,0.0,0,scattered clouds,BR
285,Shimoda,34.67,138.95,66.0,93,100,1.01,0.18,0,light rain,JP
286,Muyezerskiy,63.93,31.65,58.44,85,100,10.29,0.0,0,overcast clouds,RU
287,Tanda,26.55,82.65,89.67,63,22,2.06,0.0,0,few clouds,IN
288,Tulun,54.56,100.58,65.57,71,24,2.98,0.0,0,few clouds,RU
289,Leshan,29.56,103.76,72.72,79,100,1.9,0.0,0,overcast clouds,CN
290,Arraial Do Cabo,-22.97,-42.03,84.2,54,75,5.82,0.0,0,broken clouds,BR
291,Mao,39.89,4.27,86.0,48,0,9.17,0.0,0,clear sky,ES
292,Chilca,-12.52,-76.74,62.6,77,90,6.93,0.0,0,overcast clouds,PE
293,Casablanca,33.59,-7.62,78.8,73,40,16.11,0.0,0,scattered clouds,MA
294,Ulladulla,-35.35,150.47,55.4,71,3,9.17,0.0,0,clear sky,AU
295,Njombe,-9.33,34.77,49.86,94,44,6.33,0.0,0,scattered clouds,TZ
296,Tanout,14.97,8.89,98.51,18,22,7.74,0.0,0,few clouds,NE
297,Windhoek,-22.56,17.08,64.4,17,11,3.36,0.0,0,few clouds,NA
298,Rundu,-17.93,19.77,69.8,28,0,3.36,0.0,0,clear sky,NA
299,Lagos,6.58,3.75,80.6,83,40,6.8,0.0,0,scattered clouds,NG
300,Hami,42.8,93.45,80.19,16,52,7.94,0.0,0,broken clouds,CN
301,Imbituba,-28.24,-48.67,71.6,30,53,4.7,0.0,0,broken clouds,BR
302,Nileshwar,12.25,75.1,78.8,94,75,1.12,0.0,0,light rain,IN
303,Kodiak,57.79,-152.41,59.0,62,1,9.17,0.0,0,clear sky,US
304,Lata,40.16,-8.33,75.0,70,0,8.99,0.0,0,clear sky,PT
305,Vila Velha,-20.33,-40.29,84.2,58,99,10.29,0.0,0,overcast clouds,BR
306,Yerbogachen,61.28,108.01,64.08,51,87,4.79,0.0,0,overcast clouds,RU
307,Tynne,50.6,26.18,68.22,84,0,5.5,0.0,0,clear sky,UA
308,Iberia,29.95,-91.75,89.6,62,40,10.29,0.0,0,scattered clouds,US
309,Airai,-8.93,125.41,53.4,66,6,2.91,0.0,0,clear sky,TL
310,Mpongwe,-13.51,28.16,59.27,58,11,8.14,0.0,0,few clouds,ZM
311,Bonthe,7.53,-12.51,78.8,86,100,7.92,0.64,0,light rain,SL
312,Tuy Hoa,13.08,109.3,80.44,69,53,14.72,0.0,0,broken clouds,VN
313,Antalaha,-14.9,50.28,68.79,81,10,9.42,0.0,0,clear sky,MG
314,Den Helder,52.96,4.76,64.99,82,90,17.22,0.0,0,overcast clouds,NL
315,Cherskiy,68.75,161.3,39.54,86,99,12.86,0.75,0,light rain,RU
316,Fairbanks,64.84,-147.72,55.99,66,1,3.36,0.0,0,clear sky,US
317,Yantal,56.85,105.25,65.61,63,0,2.57,0.0,0,clear sky,RU
318,Chodziez,52.99,16.92,72.0,64,92,6.93,0.0,0,overcast clouds,PL
319,Te Anau,-45.42,167.72,37.15,87,57,1.52,0.0,0,broken clouds,NZ
320,Axim,4.87,-2.24,77.32,76,98,5.35,0.0,0,overcast clouds,GH
321,Parkersburg,39.27,-81.56,87.01,48,40,4.7,0.0,0,scattered clouds,US
322,Lasa,46.62,10.7,64.99,82,40,5.82,0.0,0,scattered clouds,IT
323,Mindelo,16.89,-24.98,82.4,58,75,20.8,0.0,0,broken clouds,CV
324,Moindou,-21.69,165.68,55.4,82,0,3.36,0.0,0,clear sky,NC
325,Contai,21.78,87.75,85.59,77,33,15.26,1.11,0,moderate rain,IN
326,Brainerd,46.36,-94.2,80.6,61,1,5.82,0.0,0,clear sky,US
327,Kibaya,-5.3,36.57,56.43,84,80,8.01,0.0,0,broken clouds,TZ
328,Sirjan,29.45,55.68,78.26,18,0,7.83,0.0,0,clear sky,IR
329,Leningradskiy,69.38,178.42,34.43,95,100,7.96,0.0,0,overcast clouds,RU
330,Pandan,14.05,124.17,80.42,83,100,6.71,0.0,0,overcast clouds,PH
331,Lahij,13.17,44.58,90.75,48,36,6.58,0.0,0,scattered clouds,YE
332,Muli,2.92,73.57,83.98,68,35,4.7,0.0,0,scattered clouds,MV
333,Sitka,57.05,-135.33,53.6,81,90,10.29,0.0,0,overcast clouds,US
334,Raudeberg,61.99,5.14,51.01,70,3,12.59,0.0,0,clear sky,NO
335,Severo-Yeniseyskiy,60.37,93.04,59.54,55,89,4.05,0.0,0,overcast clouds,RU
336,Tecoanapa,16.52,-98.75,90.64,47,73,8.68,0.0,0,broken clouds,MX
337,Pithora,21.27,82.52,87.53,56,22,5.55,0.0,0,few clouds,IN
338,Ust-Tsilma,65.44,52.15,60.87,58,85,7.47,0.0,0,overcast clouds,RU
339,Deputatskiy,69.3,139.9,47.89,63,0,4.99,0.0,0,clear sky,RU
340,Anadyr,64.75,177.48,42.8,93,75,20.13,0.0,0,light rain,RU
341,Saldanha,-33.01,17.94,59.0,82,14,6.93,0.0,0,few clouds,ZA
342,Buluang,13.31,123.34,77.29,88,100,3.09,0.0,0,overcast clouds,PH
343,Chapais,49.78,-74.85,86.0,33,75,4.7,0.0,0,broken clouds,CA
344,Lujan,-34.57,-59.1,48.0,71,88,5.01,0.0,0,overcast clouds,AR
345,Nuuk,64.18,-51.72,50.0,61,40,8.05,0.0,0,scattered clouds,GL
